,P-wave,Q-wave,R-wave,S-wave,T-wave
Normal,6.7682245311917875,5.404920588925226,3.555905120668957,6.742007147686661,3.4620744849664002
Supraventricular,4.49842555105713,4.723346828609986,0.5398110661268556,11.650922177237966,14.035087719298245
Ventricular,31.11610228058051,21.579129232895646,15.929509329647546,17.05252246026261,14.288182446440912
Fusion,2.65210608424337,2.0280811232449296,0.7800312012480499,1.0920436817472698,0.7800312012480499
Unknown,17.66443787902348,38.59430881666926,17.07354999222516,0.06219872492613902,0.015549681231534754
