threshold,patterns,TP,TN,FP,FN,accuracy,precision,recall,f1
0.5,30,0,18118,0,3774,0.8276082587246483,0.0,0.0,0.0
0.75,30,0,18118,0,3774,0.8276082587246483,0.0,0.0,0.0
1.0,27,1,18117,1,3773,0.8276082587246483,0.5,0.00026497085320614734,0.0005296610169491526
1.25,26,1,18118,0,3773,0.8276539375114197,1.0,0.00026497085320614734,0.0005298013245033114
1.5,24,9,18116,2,3765,0.8279280102320482,0.8181818181818182,0.0023847376788553257,0.0047556142668428005
1.75,23,7,18118,0,3767,0.8279280102320482,1.0,0.0018547959724430313,0.0037027241470510446
2.0,22,7,18118,0,3767,0.8279280102320482,1.0,0.0018547959724430313,0.0037027241470510446
2.5,24,2,18118,0,3772,0.8276996162981911,1.0,0.0005299417064122947,0.0010593220338983053
